"rep","cor","rmse","slope_bias","intercept_bias","sign_acc","ok","message","mean_margin","median_margin","mean_rho","max_rho","mean_kappa","max_kappa","method_global_ls","method_lss1","method_oasis_voxel","density","n_atoms","n_lags","n_widths","sbhm_rank"
28,0.244229186494721,3.92400109724532,-0.224500397145383,0.0394245328011753,0.588541666666667,TRUE,NA,0.0763157886599818,0.0733504960289749,0.936399495942306,0.957284831242053,438.082282224621,1357.82641420375,0,0,16,"moderate",15,5,3,8
29,0.286983190493573,3.39107713431537,-0.0600622141451756,0.0208727186148811,0.59375,TRUE,NA,0.0854229357888276,0.0873626111534908,0.9386261828823,0.956886854573893,555.441669895957,1357.82641420375,0,0,16,"moderate",15,5,3,8
30,0.246843623129939,4.4862276827316,-0.0237353251932915,0.0316013761770429,0.586805555555556,TRUE,NA,0.067354362875906,0.0596882882438998,0.938779300950245,0.957284831242053,526.552268332078,1357.82641420375,0,0,16,"moderate",15,5,3,8
1,0.187412983137003,4.70668382376272,-0.321126607138264,-0.180351022905736,0.552083333333333,TRUE,NA,0.0355161155768486,0.00893281829615339,0.929059060310999,0.969331550375319,183.064067875752,984.661034482733,0,0,16,"dense",42,7,6,8
2,0.21000188416643,3.94348911980014,-0.471905725171092,-0.0681617367187035,0.534722222222222,TRUE,NA,0.0548274277928557,0.0232714190093292,0.936496090173654,0.969331550375319,479.283355018246,2229.92418669434,0,0,16,"dense",42,7,6,8
3,0.202524540751633,3.74207043940082,-0.439541202004559,0.0294624161321063,0.5625,TRUE,NA,0.0763154367284264,0.0486386531959896,0.932924956137041,0.969240002251598,298.306045052153,843.576157981267,0,0,16,"dense",42,7,6,8
4,0.256353546967405,4.51452310353346,-0.358148589226725,0.0521719987729033,0.536458333333333,TRUE,NA,0.0592410584293558,0.0146687383354876,0.931588679147223,0.962827308634246,234.746581834336,460.829260755804,0,0,16,"dense",42,7,6,8
5,0.262013263600597,4.08272641719662,-0.201798998310043,-0.0168926184039277,0.592013888888889,TRUE,NA,0.0567458748893662,0.0250277714912178,0.933576381655563,0.962827308634246,199.627351059393,388.996788316689,0,0,16,"dense",42,7,6,8
6,0.187927579169988,3.50233847219507,-0.472053063336525,-0.0895895567218531,0.552083333333333,TRUE,NA,0.0340540675600019,0.00909256311840712,0.929602625607946,0.962827308634246,313.429459241958,2229.92418669434,0,0,16,"dense",42,7,6,8
7,0.146853954844721,4.70667943941087,-0.578083805183253,0.0913532093634038,0.586805555555556,TRUE,NA,0.0609902189647554,0.0445799534414222,0.930712932872953,0.969331550375319,226.183168624757,984.661034482733,0,0,16,"dense",42,7,6,8
8,0.22871829019654,3.92361420978647,-0.51794454654658,0.00729909682652594,0.590277777777778,TRUE,NA,0.0523021841245209,0.0210221200330996,0.92421776133698,0.947211904728209,184.818685708757,388.996788316689,0,0,16,"dense",42,7,6,8
9,0.179491790614124,4.00815407002324,-0.511500351334897,-0.0342066440403382,0.545138888888889,TRUE,NA,0.0731749130735033,0.0442854745937732,0.936377422922638,0.969331550375319,637.861875160799,2229.92418669434,0,0,16,"dense",42,7,6,8
10,0.199286516893924,5.74965063894096,-0.509224608255447,-0.0221956058038323,0.543402777777778,TRUE,NA,0.092862070253656,0.0545634403255055,0.932977526536551,0.969240002251598,220.61252592044,843.576157981267,0,0,16,"dense",42,7,6,8
11,0.29094605012776,3.37310752518226,-0.0659554716660179,-0.085696765427942,0.565972222222222,TRUE,NA,0.0446414536147159,0.0060709673840495,0.939799464286796,0.969331550375319,429.489563578245,984.661034482733,0,0,16,"dense",42,7,6,8
12,0.230969949094893,4.0989764021024,-0.255810545412834,0.0277586384933676,0.579861111111111,TRUE,NA,0.0581101906929134,0.0361362676334537,0.929028960784465,0.969331550375319,243.473049524472,984.661034482733,0,0,16,"dense",42,7,6,8
13,0.258785127731324,3.81897573769146,-0.287229814541974,-0.0511739584071468,0.5625,TRUE,NA,0.0559038473494404,0.0197365101490978,0.931350050328299,0.962827308634246,272.246177316742,779.162615934173,0,0,16,"dense",42,7,6,8
14,0.301077880130071,3.47623498238623,-0.143218608413368,0.0601956592463086,0.611111111111111,TRUE,NA,0.0757425882830402,0.0521687943247129,0.93134234962836,0.969240002251598,276.16386784386,843.576157981267,0,0,16,"dense",42,7,6,8
15,0.274394137190731,3.85149537006418,-0.154584940970418,-0.19296058489262,0.590277777777778,TRUE,NA,0.0603161619628135,0.031444066419967,0.926594689493057,0.962827308634246,251.40851143496,460.829260755863,0,0,16,"dense",42,7,6,8
16,0.285900498950587,4.38191207229191,-0.0211734545228518,-0.095900332302066,0.602430555555556,TRUE,NA,0.0533181823192067,0.0413200618391071,0.928788255596105,0.969240002251598,282.40236281333,843.576157981267,0,0,16,"dense",42,7,6,8
17,0.210019858279585,3.74577982214722,-0.382972087857058,-0.195465700561359,0.578125,TRUE,NA,0.0546352202227156,0.0118844286882191,0.931072872308238,0.969240002251598,260.974505587337,843.576157981267,0,0,16,"dense",42,7,6,8
18,0.296526193062785,3.36748236506135,0.00324542018533366,0.0686414939517533,0.595486111111111,TRUE,NA,0.060852127602978,0.0416893438694877,0.928139151100587,0.969331550375319,273.526268044185,984.661034482733,0,0,16,"dense",42,7,6,8
19,0.192699324613302,4.56514023688161,-0.473870490540096,-0.11916449496335,0.529513888888889,TRUE,NA,0.0811620743882949,0.0472776724302676,0.930642485084532,0.969331550375319,221.284388665948,984.661034482733,0,0,16,"dense",42,7,6,8
20,0.253017446465079,3.76955379844687,-0.315652226216372,0.0633715144614142,0.546875,TRUE,NA,0.0222256325320116,0.00898533003737717,0.935224323407347,0.977983218610428,388.206077410849,984.661034482733,0,0,16,"dense",42,7,6,8
21,0.267068160279426,3.70527092157914,-0.237702423477489,0.0817980981738303,0.59375,TRUE,NA,0.0662160609925027,0.0536052041007412,0.933126131408312,0.962827308634246,358.278048112837,2229.92418669434,0,0,16,"dense",42,7,6,8
22,0.192781409989855,3.66955771484902,-0.457359406411599,0.0726580835302788,0.546875,TRUE,NA,0.0737138255047001,0.0297625877138545,0.92651847142167,0.969331550375319,227.637833786732,984.661034482733,0,0,16,"dense",42,7,6,8
23,0.215272211261862,4.1912271162405,-0.371478921666583,-0.137081418799877,0.609375,TRUE,NA,0.0748784781623481,0.0419515886323655,0.930082646970196,0.977983218610428,242.757767868668,903.045526225011,0,0,16,"dense",42,7,6,8
24,0.177228163518711,4.611211121416,-0.625234899031474,0.0382174915777047,0.595486111111111,TRUE,NA,0.0685610506497422,0.0218869877096072,0.92759913677021,0.969240002251598,231.965809864015,843.576157981267,0,0,16,"dense",42,7,6,8
25,0.221147233221948,3.21503293029974,-0.371240654369977,0.0675693264443271,0.564236111111111,TRUE,NA,0.0828002027384623,0.06442059676857,0.927545307525451,0.969240002251598,262.944909585728,843.576157981267,0,0,16,"dense",42,7,6,8
26,0.275208932771846,3.92610688276271,-0.110807532072964,0.0313099920700411,0.583333333333333,TRUE,NA,0.100788086509066,0.0737058698253884,0.927455657694774,0.969240002251598,245.669905329158,843.576157981267,0,0,16,"dense",42,7,6,8
27,0.24483143476993,3.29118261509649,-0.284017105817007,-0.0355243751038498,0.557291666666667,TRUE,NA,0.108039727655459,0.071040827488745,0.921364504217871,0.923419797453241,200.212077471573,261.162534109975,0,0,16,"dense",42,7,6,8
28,0.254391127635042,4.66271425883017,-0.269688503656971,0.0368494846159792,0.588541666666667,TRUE,NA,0.0766426442718215,0.0145616416391502,0.934315591749462,0.962827308634246,346.185975191619,2229.92418669434,0,0,16,"dense",42,7,6,8
29,0.286220314339365,3.39579196924495,-0.037152682217461,0.0254176991105345,0.602430555555556,TRUE,NA,0.0382041575544343,0.0121032136022929,0.933690644354908,0.969331550375319,302.356076377619,984.661034482733,0,0,16,"dense",42,7,6,8
30,0.217762561668646,3.67842325286132,-0.18231414740406,0.0632065499560546,0.588541666666667,TRUE,NA,0.0489108240468507,0.0425254160028032,0.933191728104061,0.969331550375319,370.648056032027,984.661034482733,0,0,16,"dense",42,7,6,8
1,0.17069037403183,4.76611734970637,-0.394102762007356,-0.171623187779503,0.555555555555556,TRUE,NA,0.033493011530377,0.0143494660969617,0.920162124066148,0.94446417486922,154.581904755777,542.109872750522,0,0,16,"very_dense",130,13,10,8
2,0.208558981699687,3.55401747203992,-0.580254830124644,-0.0704918084651775,0.536458333333333,TRUE,NA,0.038730463837011,0.0314530070953366,0.920374151140626,0.967045001024824,278.717390737683,1229.24748809809,0,0,16,"very_dense",130,13,10,8
3,0.177224183173392,3.90942888192002,-0.543895655461359,0.0188623596698118,0.569444444444444,TRUE,NA,0.0608163416260953,0.0557238160715478,0.927753582701868,0.97133903182641,258.480274921582,865.816882598689,0,0,16,"very_dense",130,13,10,8
