"rep","method","cor","rmse","slope_bias","intercept_bias","sign_acc","ok","message","scenario","hrf_regime","ar_regime","isi_regime","amp_regime","cell","oasis_variant"
1,"hrfals_fit[ls_svd_1als]",0.0550854180768798,1.49262541565937,-0.904773688698049,0.134024820076285,0.506944444444444,TRUE,NA,"h1_r2_c2__hrf_nominal__ar_mod__isi_mid__amp_high","nominal","ar_mod","isi_mid","amp_high","h1_r2_c2",NA
1,"hrfals_fit[cf_als]",0.0550854180768799,1.4926387890313,-0.904769949837186,0.134029980901549,0.506944444444444,TRUE,NA,"h1_r2_c2__hrf_nominal__ar_mod__isi_mid__amp_high","nominal","ar_mod","isi_mid","amp_high","h1_r2_c2",NA
1,"fmrilss_sbhm",0.287486262824377,3.72619436040121,0.0809091765003888,0.244006672471405,0.597222222222222,TRUE,NA,"h1_r2_c2__hrf_nominal__ar_mod__isi_mid__amp_high","nominal","ar_mod","isi_mid","amp_high","h1_r2_c2",NA
1,"fmrilss_oasis_best",0.347691901964146,2.78572637926167,-0.0139372314249506,0.167758072505214,0.599537037037037,TRUE,NA,"h1_r2_c2__hrf_nominal__ar_mod__isi_mid__amp_high","nominal","ar_mod","isi_mid","amp_high","h1_r2_c2","fmrilss_oasis[absolute|x=0.01|b=0.01]"
1,"st_default",0.419166646962744,0.91858208372392,-0.736781428851213,0.0152494639388359,0.604166666666667,TRUE,NA,"h1_r2_c3__hrf_nominal__ar_mod__isi_sparse__amp_none","nominal","ar_mod","isi_sparse","amp_none","h1_r2_c3",NA
1,"fmrilss_lss",0.418372307520212,2.45116779364913,0.166666073134677,0.0215894236188684,0.631944444444444,TRUE,NA,"h1_r2_c3__hrf_nominal__ar_mod__isi_sparse__amp_none","nominal","ar_mod","isi_sparse","amp_none","h1_r2_c3",NA
1,"hrfals_fastlss[r]",0.421200164686718,2.29357012642671,0.0769501051001646,0.0461853799856266,0.645833333333333,TRUE,NA,"h1_r2_c3__hrf_nominal__ar_mod__isi_sparse__amp_none","nominal","ar_mod","isi_sparse","amp_none","h1_r2_c3",NA
1,"hrfals_fastlss[cpp]",0.421200164686718,2.29357012642671,0.076950105100164,0.046185379985626,0.645833333333333,TRUE,NA,"h1_r2_c3__hrf_nominal__ar_mod__isi_sparse__amp_none","nominal","ar_mod","isi_sparse","amp_none","h1_r2_c3",NA
1,"hrfals_fit[ls_svd_only]",0.157130248976182,1.00321042509576,-0.943244675064161,0.00645357995161939,0.539351851851852,TRUE,NA,"h1_r2_c3__hrf_nominal__ar_mod__isi_sparse__amp_none","nominal","ar_mod","isi_sparse","amp_none","h1_r2_c3",NA
1,"hrfals_fit[ls_svd_1als]",0.201477948746442,1.33075889142231,-0.735734131675111,-0.0210265265702927,0.583333333333333,TRUE,NA,"h1_r2_c3__hrf_nominal__ar_mod__isi_sparse__amp_none","nominal","ar_mod","isi_sparse","amp_none","h1_r2_c3",NA
1,"hrfals_fit[cf_als]",0.201477948746442,1.33076531735997,-0.735736419581693,-0.0210344153619991,0.583333333333333,TRUE,NA,"h1_r2_c3__hrf_nominal__ar_mod__isi_sparse__amp_none","nominal","ar_mod","isi_sparse","amp_none","h1_r2_c3",NA
