"method","n","mean_cor","median_cor","sd_cor","mean_rmse","median_rmse","sd_rmse","success_rate","scenario"
"fmrilss_oasis[absolute|x=0|b=0.02]",8,0.627719938483245,0.625306679297892,0.014886766683607,1.34116509903494,1.33738849159942,0.041465828092826,1,"baseline__no_sbhm"
"fmrilss_oasis[absolute|x=0|b=0.05]",8,0.627735407983438,0.625333658873932,0.014881389495806,1.3405220190336,1.33679686074848,0.0411175860340735,1,"baseline__no_sbhm"
"fmrilss_oasis[absolute|x=0|b=0]",8,0.627709499333639,0.625288506268616,0.0148903751722827,1.34159937686417,1.33778818399451,0.0417008113321061,1,"baseline__no_sbhm"
"fmrilss_oasis[fractional|x=0.01|b=0.01]",8,0.627755022955406,0.625372611713312,0.0148746919694532,1.3253357693972,1.32178302559085,0.0403201646985027,1,"baseline__no_sbhm"
"fmrilss_oasis[fractional|x=0.01|b=0.02]",8,0.627787380116583,0.625429358341071,0.0148632277506147,1.32401483420468,1.32035893844129,0.0395935437273285,1,"baseline__no_sbhm"
"fmrilss_oasis[fractional|x=0.01|b=0.05]",8,0.627878667595387,0.625590951765096,0.0148299724841037,1.32030358715769,1.31639477133378,0.0375437981716478,1,"baseline__no_sbhm"
"fmrilss_oasis[fractional|x=0.01|b=0]",8,0.627721632067851,0.625314330350546,0.0148863536158743,1.32670168839171,1.323070453432,0.0410698892807355,1,"baseline__no_sbhm"
"fmrilss_oasis[fractional|x=0.02|b=0.01]",8,0.627766543344262,0.625397438134307,0.0148707731762306,1.31089068368017,1.30756973659107,0.0397133710847616,1,"baseline__no_sbhm"
"fmrilss_oasis[fractional|x=0.02|b=0.02]",8,0.627798672868924,0.625453838752324,0.0148593305844914,1.30960002598872,1.30618839850333,0.0389938778428779,1,"baseline__no_sbhm"
"fmrilss_oasis[fractional|x=0.02|b=0.05]",8,0.627889321546305,0.62561445369929,0.0148261372468173,1.30597465940835,1.30230932392275,0.0369640793309385,1,"baseline__no_sbhm"
"fmrilss_oasis[fractional|x=0.02|b=0]",8,0.62773338802428,0.62533951342744,0.0148824126671718,1.31222544303581,1.30899846789945,0.0404557105855694,1,"baseline__no_sbhm"
"fmrilss_oasis[fractional|x=0.05|b=0.01]",8,0.627799029851476,0.6254683459588,0.0148594736868702,1.26994300005177,1.26733044730011,0.0379910372062772,1,"baseline__no_sbhm"
"fmrilss_oasis[fractional|x=0.05|b=0.02]",8,0.627830515284084,0.625523761065464,0.0148480929578555,1.2687366786509,1.26603289788164,0.0372928896437541,1,"baseline__no_sbhm"
"fmrilss_oasis[fractional|x=0.05|b=0.05]",8,0.62791935658484,0.625681588927184,0.0148150768645372,1.26535044362056,1.26239108708998,0.0353229969747682,1,"baseline__no_sbhm"
"fmrilss_oasis[fractional|x=0.05|b=0]",8,0.627766541081967,0.625411437054007,0.0148710498232566,1.27119095062256,1.268672874691,0.038711290921846,1,"baseline__no_sbhm"
"fmrilss_oasis[fractional|x=0|b=0.01]",8,0.627743132937359,0.625347153890601,0.0148786908193032,1.34020109747463,1.3365017202724,0.0409436760160325,1,"baseline__no_sbhm"
"fmrilss_oasis[fractional|x=0|b=0.02]",8,0.627775724645938,0.625404255838896,0.014867204438999,1.33884871536785,1.33525876991151,0.0402099071308857,1,"baseline__no_sbhm"
"fmrilss_oasis[fractional|x=0|b=0.05]",8,0.62786767033658,0.625566854037812,0.0148338857324659,1.33504825599451,1.33126535562258,0.0381401842249633,1,"baseline__no_sbhm"
"fmrilss_oasis[fractional|x=0|b=0]",8,0.627709499333639,0.625288506268616,0.0148903751722827,1.34159937686417,1.33778818399451,0.0417008113321061,1,"baseline__no_sbhm"
"st_default",8,0.636462538047047,0.635812379943668,0.0102830080751017,0.798927617475504,0.794980476746064,0.0237033862206541,1,"baseline__no_sbhm"
"fmrilss_lss",8,0.62667125419375,0.625288506268616,0.016584411697356,1.33849165729687,1.33778818399451,0.0460426583498957,1,"baseline__sbhm_default_gls"
"fmrilss_oasis[absolute|x=0.01|b=0.01]",8,0.626687358704204,0.625325212802263,0.0165835852263499,1.32242417788329,1.32183029124694,0.0451136219780661,1,"baseline__sbhm_default_gls"
"fmrilss_oasis[absolute|x=0.01|b=0.02]",8,0.626691880195577,0.625334219788674,0.0165833554307121,1.32220779318081,1.32163634955709,0.0450053108793825,1,"baseline__sbhm_default_gls"
"fmrilss_oasis[absolute|x=0.01|b=0.05]",8,0.626705306824935,0.625361018917598,0.0165826676381948,1.32156528572064,1.32106645072496,0.0446835135502371,1,"baseline__sbhm_default_gls"
"fmrilss_oasis[absolute|x=0.01|b=0]",8,0.626682813978205,0.625316168476259,0.0165838152869775,1.3226416826421,1.32202527301209,0.0452224610424436,1,"baseline__sbhm_default_gls"
"fmrilss_oasis[absolute|x=0.02|b=0.01]",8,0.626698482759421,0.62535208077749,0.0165829977995041,1.30706053305655,1.3067566999028,0.0443162399086481,1,"baseline__sbhm_default_gls"
"fmrilss_oasis[absolute|x=0.02|b=0.02]",8,0.62670296748954,0.625361028752734,0.0165827668803232,1.30684929800675,1.30653605999972,0.0442091374107,1,"baseline__sbhm_default_gls"
"fmrilss_oasis[absolute|x=0.02|b=0.05]",8,0.626716285024742,0.625387652498286,0.0165820757178444,1.30622210251696,1.30588099449591,0.0438909271871084,1,"baseline__sbhm_default_gls"
"fmrilss_oasis[absolute|x=0.02|b=0]",8,0.62669397499536,0.625343095740727,0.0165832289837189,1.30727286509054,1.30697849492668,0.0444238638488175,1,"baseline__sbhm_default_gls"
"fmrilss_oasis[absolute|x=0.05|b=0.01]",8,0.626729636474337,0.625428554557863,0.0165812937142809,1.26369131031663,1.26384446734938,0.0420500770002919,1,"baseline__sbhm_default_gls"
"fmrilss_oasis[absolute|x=0.05|b=0.02]",8,0.626734017691192,0.625437335069744,0.0165810595181129,1.26349435462814,1.26363801618218,0.0419465649730536,1,"baseline__sbhm_default_gls"
"fmrilss_oasis[absolute|x=0.05|b=0.05]",8,0.626747028040762,0.625463461102833,0.016580358530993,1.26290961486542,1.26302512940672,0.041639014793585,1,"baseline__sbhm_default_gls"
"fmrilss_oasis[absolute|x=0.05|b=0]",8,0.626725232789382,0.625419737772716,0.0165815281763585,1.26388929858905,1.26405200836485,0.0421540916971246,1,"baseline__sbhm_default_gls"
"fmrilss_oasis[absolute|x=0|b=0.01]",8,0.626675837099582,0.625297611596187,0.0165841827759575,1.33826876723427,1.33758780585833,0.0459325955132103,1,"baseline__sbhm_default_gls"
"fmrilss_oasis[absolute|x=0|b=0.02]",8,0.626680396563626,0.625306679297892,0.0165839541196451,1.33804702117286,1.33738849159942,0.045823067304774,1,"baseline__sbhm_default_gls"
"fmrilss_oasis[absolute|x=0|b=0.05]",8,0.626693935882983,0.625333658873932,0.0165832697452526,1.33738857180724,1.33679686074848,0.0454976581660967,1,"baseline__sbhm_default_gls"
"fmrilss_oasis[absolute|x=0|b=0]",8,0.62667125419375,0.625288506268616,0.016584411697356,1.33849165729687,1.33778818399451,0.0460426583498957,1,"baseline__sbhm_default_gls"
"fmrilss_oasis[fractional|x=0.01|b=0.01]",8,0.626711258909822,0.625372611713312,0.0165823616191147,1.32229368033989,1.32178302559085,0.0445768026217904,1,"baseline__sbhm_default_gls"
"fmrilss_oasis[fractional|x=0.01|b=0.02]",8,0.626739518264106,0.625429358341071,0.0165808794836278,1.32094026602304,1.32035893844129,0.0438983247940998,1,"baseline__sbhm_default_gls"
"fmrilss_oasis[fractional|x=0.01|b=0.05]",8,0.626818986561298,0.625590951765096,0.0165765022319444,1.3171367844915,1.31639477133378,0.0419849200317847,1,"baseline__sbhm_default_gls"
"fmrilss_oasis[fractional|x=0.01|b=0]",8,0.626682048783049,0.625314330350546,0.0165838551018281,1.32369300269166,1.323070453432,0.045276973422717,1,"baseline__sbhm_default_gls"
"fmrilss_oasis[fractional|x=0.02|b=0.01]",8,0.626721483587123,0.625397438134307,0.0165818069963183,1.30794577548848,1.30756973659107,0.0438372105126456,1,"baseline__sbhm_default_gls"
"fmrilss_oasis[fractional|x=0.02|b=0.02]",8,0.626749528617382,0.625453838752324,0.0165803180353334,1.30662264880816,1.30618839850333,0.043165763184313,1,"baseline__sbhm_default_gls"
"fmrilss_oasis[fractional|x=0.02|b=0.05]",8,0.626828396491251,0.62561445369929,0.016575920450164,1.30290505933228,1.30230932392275,0.0412720598589795,1,"baseline__sbhm_default_gls"
