"scenario","method","n","mean_cor","median_cor","sd_cor","mean_rmse","median_rmse","sd_rmse","mean_slope_bias","median_slope_bias","sd_slope_bias","mean_abs_slope_bias","mean_intercept_bias","median_intercept_bias","sd_intercept_bias","mean_abs_intercept_bias","mean_sign_acc","median_sign_acc","sd_sign_acc","success_rate","regime","lag","widen"
"medium__lag3__widen1","hrfals_fit[cf_als]",20,0.103722422995318,0.102178490191864,0.0626768673605064,1.34531434525031,1.33719902399786,0.0773210137040004,-0.89670026006274,-0.916658658316949,0.069599218595788,0.89670026006274,-0.00690264157256642,-0.0124452514283502,0.0931402736281716,0.0752258712651664,0.528009259259259,0.53125,0.0252672792713431,1,"medium",3,1
"medium__lag3__widen1","hrfals_fit[ls_svd_1als]",20,0.103722422995318,0.102178490191864,0.0626768673605064,1.34531431555973,1.33720646969244,0.0773209752849622,-0.896697799769097,-0.916655702260157,0.0695993230803699,0.896697799769097,-0.00690278834137921,-0.0124430637748184,0.0931403722230744,0.0752259965548765,0.528009259259259,0.53125,0.0252672792713431,1,"medium",3,1
"medium__lag3__widen1","hrfals_fit[ls_svd_only]",20,0.0335055687619383,0.0551649813135656,0.060157377142484,1.09512702349813,1.07644657046566,0.0591410101870309,-0.988216660361248,-0.985970422958183,0.0220755258487014,0.988216660361248,0.00668942486915886,0.00972167228252298,0.014398868649161,0.0132416063070923,0.505555555555556,0.513888888888889,0.0250486855378379,1,"medium",3,1
"medium__lag3__widen0","fmrilss_sbhm",20,0.365566197166097,0.364768982460285,0.0388173379438973,3.15267299228277,3.12259911942191,0.308627042875198,0.20808610253608,0.188535146954572,0.186576728038826,0.224447239331999,0.0254429198844686,0.0306455857281798,0.0910281321797888,0.0759785301699503,0.618171296296296,0.616898148148148,0.0202981813866471,1,"medium",3,0
"medium__lag3__widen0","hrfals_fastlss[cpp]",20,0.251663152234348,0.246546804712293,0.0385549136849586,2.20456493316418,2.17761588161787,0.166848044802945,-0.453056031893643,-0.452583254487305,0.093391335170099,0.453056031893643,0.0426188405366627,0.047205683790153,0.135318979943939,0.09757886825233,0.584722222222222,0.584490740740741,0.0206552383389699,1,"medium",3,0
"medium__lag3__widen0","hrfals_fastlss[r]",20,0.251663152234348,0.246546804712293,0.0385549136849586,2.20456493316418,2.17761588161787,0.166848044802945,-0.453056031893643,-0.452583254487305,0.0933913351700991,0.453056031893643,0.0426188405366627,0.0472056837901529,0.135318979943939,0.09757886825233,0.584722222222222,0.584490740740741,0.0206552383389699,1,"medium",3,0
"medium__lag3__widen0","fmrilss_oasis[fractional|x=0.05|b=0.05]",20,0.248446952037544,0.241018636124693,0.0428855510654784,2.14311472625752,2.12726629168844,0.159115907169058,-0.465099470360281,-0.471227866125193,0.100013906192569,0.465099470360281,0.019481596150666,0.0263419592693056,0.0590760245510086,0.047168649023409,0.582291666666667,0.585648148148148,0.0221453730284011,1,"medium",3,0
"medium__lag3__widen0","fmrilss_lss",20,0.248036000538737,0.240688041414437,0.0431340943632503,2.2483868505758,2.23179133590076,0.169496204630873,-0.436524478572774,-0.443455748105054,0.106062277358412,0.436524478572774,0.0193294893124849,0.0289153820262664,0.0589970328813655,0.0474318298061225,0.581944444444444,0.584490740740741,0.0215637079899122,1,"medium",3,0
"medium__lag3__widen0","st_default",20,0.208730894201405,0.199893556036039,0.0447213593683157,1.10500386160312,1.08347569133906,0.0574152015750695,-0.867832511297063,-0.877180799492823,0.0320016294124413,0.867832511297063,0.00597863352729566,0.000557306566582102,0.0416225046348327,0.0331145771778748,0.574884259259259,0.571759259259259,0.0246957677084904,1,"medium",3,0
"medium__lag3__widen0","hrfals_fit[cf_als]",20,0.10416889152453,0.102722608489546,0.0573036772580517,1.37008211888583,1.35914909496372,0.0534844168347336,-0.902265196798693,-0.900197628595194,0.0518595141561553,0.902265196798693,0.0261504877006805,0.0310181629465405,0.0796184443902736,0.0649075574823162,0.539930555555556,0.537037037037037,0.0196830912305793,1,"medium",3,0
