"rep","method","cor","rmse","slope_bias","intercept_bias","sign_acc","ok","message","scenario","regime","global_hrf","hetero"
2,"fmrilss_oasis[fractional|x=0.02|b=0.05]",0.223728018854539,3.85560310702973,-0.222457685644616,0.0531086978939751,0.555555555555556,TRUE,NA,"medium__mismatch__moderate","medium","mismatch","moderate"
2,"fmrilss_oasis[absolute|x=0.05|b=0.05]",0.224078394194327,2.99104334901942,-0.398783113091589,0.0206037271474889,0.564814814814815,TRUE,NA,"medium__mismatch__moderate","medium","mismatch","moderate"
2,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.231107630072167,2.97455603803594,-0.392297305071378,0.0294860324691333,0.569444444444444,TRUE,NA,"medium__mismatch__moderate","medium","mismatch","moderate"
2,"fmrilss_sbhm",0.272462755711588,3.80387554867543,-0.168996093921989,0.151991797663485,0.583333333333333,TRUE,NA,"medium__mismatch__moderate","medium","mismatch","moderate"
1,"st_default",0.252084553664959,1.1121767066462,-0.956271874219563,0.00738267780775763,0.599537037037037,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
1,"fmrilss_lss",0.28571260140881,3.05098658463695,-0.206314063842689,-0.00596785112772328,0.590277777777778,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
1,"fmrilss_oasis[absolute|x=0.02|b=0.02]",0.0436832018355686,3.74640559903373,-0.853715445722632,0.0188181611982544,0.527777777777778,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
1,"fmrilss_oasis[fractional|x=0.02|b=0.02]",0.049592361522349,3.80597089025731,-0.833313185494666,0.0160136450172457,0.525462962962963,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
1,"fmrilss_oasis[absolute|x=0.05|b=0.02]",0.0916484141927232,2.65645114115489,-0.787752715514865,0.0191355930588116,0.523148148148148,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
1,"fmrilss_oasis[fractional|x=0.05|b=0.02]",0.0952919486222708,2.69896868423024,-0.776229312285595,0.0164524310824868,0.541666666666667,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
1,"fmrilss_oasis[absolute|x=0.02|b=0.05]",0.0449994916649575,3.73839231606854,-0.850022757709,0.0183494605381915,0.527777777777778,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
1,"fmrilss_oasis[fractional|x=0.02|b=0.05]",0.0546921624187564,3.78117767632357,-0.81922542407695,0.0155708952151147,0.530092592592593,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
1,"fmrilss_oasis[absolute|x=0.05|b=0.05]",0.0928547452896248,2.65194238258561,-0.78541311495274,0.0186865581208931,0.523148148148148,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
1,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.0993867528504739,2.68717896713369,-0.767582236023432,0.015955955501391,0.541666666666667,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
1,"fmrilss_sbhm",0.190934571616583,3.99098028229906,-0.544334374908763,0.203589393846746,0.55787037037037,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
2,"st_default",0.263968846141448,1.04189620904207,-0.875756074175473,-0.10321766265917,0.592592592592593,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
2,"fmrilss_lss",0.26539913274368,2.70039527005958,-0.279382978762977,0.116153547867035,0.611111111111111,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
