"rep","mean_abs_lag","max_abs_lag","mean_widen","max_widen","scenario"
9,0.459131329275072,1.37798845986079,0.434833303389965,1.76842057712343,"hard__nominal__moderate"
10,0.536896371941016,1.44522110948781,0.242759772915134,1.53144096273177,"hard__nominal__moderate"
11,0.532754438178677,2.53373243400487,0.165331221558458,1.02450515685256,"hard__nominal__moderate"
12,0.568686036982456,2.04237565924994,0.235973368420317,1.65661994522461,"hard__nominal__moderate"
1,0.823739048434097,3.39168212458337,0.37974855685297,2.37161569754195,"hard__nominal__high"
2,1.22204216930408,3.19379194876494,0.468360083060167,2.88790476918726,"hard__nominal__high"
3,0.937610245019092,2.64119036114854,0.117018878244357,1.16865327723586,"hard__nominal__high"
4,1.03549245746705,4.19562948693971,0.413782708362346,2.69597398152497,"hard__nominal__high"
5,0.802636838411307,3.64488934351367,0.243686488433099,1.82329901028749,"hard__nominal__high"
6,1.13778097475192,2.9156293846413,0.600541137559283,3.1263111031767,"hard__nominal__high"
7,0.753655032319338,2.17612074395945,0.326794173043386,2.34452168168414,"hard__nominal__high"
8,0.778932590174013,2.36264829546713,0.729239383231679,3.00322403959844,"hard__nominal__high"
9,0.901257475105439,2.4596954638232,0.410980406359582,2.61929776335502,"hard__nominal__high"
10,0.896142604379669,4.35536222425954,0.280374610450892,1.77687070133013,"hard__nominal__high"
11,0.954340285808166,3.49998432651717,0.399005572599083,2.82596621811788,"hard__nominal__high"
12,0.626048326214197,1.84494498443521,0.4046094299689,3.41046831756169,"hard__nominal__high"
1,0,0,0,0,"hard__mismatch__none"
2,0,0,0,0,"hard__mismatch__none"
3,0,0,0,0,"hard__mismatch__none"
4,0,0,0,0,"hard__mismatch__none"
5,0,0,0,0,"hard__mismatch__none"
6,0,0,0,0,"hard__mismatch__none"
7,0,0,0,0,"hard__mismatch__none"
8,0,0,0,0,"hard__mismatch__none"
9,0,0,0,0,"hard__mismatch__none"
10,0,0,0,0,"hard__mismatch__none"
11,0,0,0,0,"hard__mismatch__none"
12,0,0,0,0,"hard__mismatch__none"
1,0.557852467579476,1.54321308763621,0.0650517815139948,0.657259363248489,"hard__mismatch__moderate"
2,0.614089345106801,2.48609031640283,0.244814816059138,1.58261418572962,"hard__mismatch__moderate"
3,0.473063325740087,2.14936440386435,0.142035435866107,1.03985529384256,"hard__mismatch__moderate"
4,0.679426681679604,1.70985025798985,0.359190550136109,1.83838177751841,"hard__mismatch__moderate"
5,0.445803130439016,1.25972163734657,0.191982216877654,1.34876037943297,"hard__mismatch__moderate"
6,0.459131329275072,1.37798845986079,0.434833303389965,1.76842057712343,"hard__mismatch__moderate"
7,0.536896371941016,1.44522110948781,0.242759772915134,1.53144096273177,"hard__mismatch__moderate"
8,0.532754438178677,2.53373243400487,0.165331221558458,1.02450515685256,"hard__mismatch__moderate"
9,0.568686036982456,2.04237565924994,0.235973368420317,1.65661994522461,"hard__mismatch__moderate"
10,0.369532513591983,1.05870122814185,0.238908411493608,1.99780464451933,"hard__mismatch__moderate"
11,0.550888165095412,1.8729910500865,0.485408256631062,1.69381058022982,"hard__mismatch__moderate"
12,0.613438740251619,1.94916699984815,0.199335507600688,1.29248711910278,"hard__mismatch__moderate"
1,1.03549245746705,4.19562948693971,0.413782708362346,2.69597398152497,"hard__mismatch__high"
2,0.802636838411307,3.64488934351367,0.243686488433099,1.82329901028749,"hard__mismatch__high"
3,1.13778097475192,2.9156293846413,0.600541137559283,3.1263111031767,"hard__mismatch__high"
4,0.753655032319338,2.17612074395945,0.326794173043386,2.34452168168414,"hard__mismatch__high"
5,0.778932590174013,2.36264829546713,0.729239383231679,3.00322403959844,"hard__mismatch__high"
6,0.901257475105439,2.4596954638232,0.410980406359582,2.61929776335502,"hard__mismatch__high"
7,0.896142604379669,4.35536222425954,0.280374610450892,1.77687070133013,"hard__mismatch__high"
8,0.954340285808166,3.49998432651717,0.399005572599083,2.82596621811788,"hard__mismatch__high"
9,0.626048326214197,1.84494498443521,0.4046094299689,3.41046831756169,"hard__mismatch__high"
10,0.929273700996705,3.19557154160818,0.811422289716316,2.87425521480211,"hard__mismatch__high"
11,1.02613026839763,3.32878770969807,0.336455584004478,2.21061946222768,"hard__mismatch__high"
12,0.804538652428537,2.71565193886498,0.254166348800938,2.12710736296853,"hard__mismatch__high"
