"scenario","method","n_old","mean_cor_old","median_cor_old","sd_cor_old","mean_rmse_old","median_rmse_old","sd_rmse_old","mean_slope_bias_old","median_slope_bias_old","sd_slope_bias_old","mean_abs_slope_bias_old","mean_intercept_bias_old","median_intercept_bias_old","sd_intercept_bias_old","mean_abs_intercept_bias_old","mean_sign_acc_old","median_sign_acc_old","sd_sign_acc_old","success_rate_old","regime","lag","widen","run_old","n_new","mean_cor_new","median_cor_new","sd_cor_new","mean_rmse_new","median_rmse_new","sd_rmse_new","mean_slope_bias_new","median_slope_bias_new","sd_slope_bias_new","mean_abs_slope_bias_new","mean_intercept_bias_new","median_intercept_bias_new","sd_intercept_bias_new","mean_abs_intercept_bias_new","mean_sign_acc_new","median_sign_acc_new","sd_sign_acc_new","success_rate_new","run_new","delta_cor","delta_rmse","delta_sign_acc"
"hard__lag2__widen0","fmrilss_lss",20,0.228222557613844,0.234290739500355,0.0309421054066756,3.49386711080858,3.53299953058455,0.419270834492555,-0.321141835201943,-0.305442068675176,0.089692930131026,0.321141835201943,0.0125438294822947,0.00622447988019792,0.0698864461109192,0.0523430738601928,0.565162037037037,0.56712962962963,0.0134614832972012,1,"hard",2,0,"before",20,0.228222557613844,0.234290739500355,0.0309421054066756,3.49386711080858,3.53299953058455,0.419270834492555,-0.321141835201943,-0.305442068675176,0.089692930131026,0.321141835201943,0.0125438294822947,0.00622447988019792,0.0698864461109192,0.0523430738601928,0.565162037037037,0.56712962962963,0.0134614832972012,1,"after",0,0,0
"hard__lag2__widen0","fmrilss_sbhm",20,0.228194803301001,0.221376720459584,0.0416168808718798,3.59544653654861,3.62583894873175,0.437668532498857,-0.327052660032725,-0.290009303550958,0.134818120017317,0.327052660032725,0.0050928237362106,0.0265679334105354,0.0773423651057317,0.0641313594663859,0.562615740740741,0.563657407407407,0.0217210559031398,1,"hard",2,0,"before",20,0.234076594245079,0.238781340768158,0.0295530355363345,3.37885251070646,3.31366597198527,0.489643538010858,-0.330140241358765,-0.31408792377538,0.103378353962097,0.330140241358765,0.0109164008694458,-0.00383603186013637,0.0801061959556648,0.0652247224516223,0.562847222222222,0.55787037037037,0.0191662281828722,1,"after",0.00588179094407801,-0.21659402584215,0.000231481481481
"hard__lag2__widen0","st_default",20,0.193677847783099,0.208362103821371,0.0617514394202669,1.24386714628575,1.19682637820703,0.161671263420381,-0.963973503554512,-0.97130426547145,0.0205091394525426,0.963973503554512,0.00449499342874731,0.00145874743475092,0.0350940922564698,0.0211367001145612,0.540046296296296,0.568287037037037,0.124180813314097,1,"hard",2,0,"before",20,0.193677847783099,0.208362103821371,0.0617514394202669,1.24386714628575,1.19682637820703,0.161671263420381,-0.963973503554512,-0.97130426547145,0.0205091394525426,0.963973503554512,0.00449499342874731,0.00145874743475092,0.0350940922564698,0.0211367001145612,0.540046296296296,0.568287037037037,0.124180813314097,1,"after",0,0,0
"hard__lag2__widen0","fmrilss_oasis[fractional|x=0.05|b=0.05]",20,0.12730833944904,0.137544455484232,0.067693560683874,4.25066047531624,4.17525909618412,0.464720914419677,-0.526262818137697,-0.516581441394202,0.240189140822051,0.526262818137697,0.011079018542762,0.0198256084907396,0.0904420690675267,0.0705223827450726,0.528009259259259,0.534722222222222,0.0240550888552495,1,"hard",2,0,"before",20,0.22869878533073,0.234280104402729,0.0307184001372112,3.28113513408554,3.3103868310709,0.391656210746155,-0.363578034511858,-0.349407647629624,0.08327642359788,0.363578034511858,0.017694356937483,0.0111001807453658,0.0848427336175108,0.065485434988554,0.565740740740741,0.564814814814815,0.0136719575911313,1,"after",0.10139044588169,-0.9695253412307,0.037731481481482
"hard__lag1__widen2","st_default",20,0.292533372980642,0.293499712232795,0.0361331714203329,1.22707223063154,1.18942464382632,0.152655481735256,-0.948206158277488,-0.958977044488963,0.0253204445443583,0.948206158277488,0.00941366741182481,0.00621679443472139,0.0304658056611772,0.0216000581523606,0.586921296296296,0.583333333333333,0.0174437603850184,1,"hard",1,2,"before",20,0.292533372980642,0.293499712232795,0.0361331714203329,1.22707223063154,1.18942464382632,0.152655481735256,-0.948206158277488,-0.958977044488963,0.0253204445443583,0.948206158277488,0.00941366741182481,0.00621679443472139,0.0304658056611772,0.0216000581523606,0.586921296296296,0.583333333333333,0.0174437603850184,1,"after",0,0,0
"hard__lag1__widen2","fmrilss_lss",20,0.277900939766525,0.286073718534699,0.0289936204602305,3.48140700597947,3.52284117781797,0.457798788481043,-0.17481068645826,-0.137793562067751,0.116586453917477,0.178744015153414,0.0200827440935124,0.0250053981449807,0.0789997767290378,0.0672847536225974,0.578356481481481,0.572916666666667,0.0173432331600836,1,"hard",1,2,"before",20,0.277900939766525,0.286073718534699,0.0289936204602305,3.48140700597947,3.52284117781797,0.457798788481043,-0.17481068645826,-0.137793562067751,0.116586453917477,0.178744015153414,0.0200827440935124,0.0250053981449807,0.0789997767290378,0.0672847536225974,0.578356481481481,0.572916666666667,0.0173432331600836,1,"after",0,0,0
"hard__lag1__widen2","fmrilss_sbhm",20,0.211818091113112,0.20984639200403,0.0507779255218512,3.72378272305077,3.57067648021534,0.650573032169681,-0.352275077118005,-0.371778005475162,0.158630965575382,0.352275077118005,0.0410892912650876,0.0492847023185651,0.0881728146014473,0.0801498695536395,0.558333333333333,0.564814814814815,0.0217486287333168,1,"hard",1,2,"before",20,0.217359824481465,0.2195970166158,0.0373600933289079,3.31759593976115,3.28328321238805,0.401191216974772,-0.385430222934576,-0.359931922955986,0.122013913242744,0.385430222934576,0.0301003966162025,0.0302151200387189,0.10247658894502,0.0866367792447255,0.553125,0.555555555555556,0.0195767769060515,1,"after",0.00554173336835301,-0.40618678328962,-0.00520833333333304
"hard__lag1__widen2","fmrilss_oasis[fractional|x=0.05|b=0.05]",20,0.156885640770499,0.152264180915376,0.0408043647862518,3.9251651499951,3.81776391786667,0.395163796263892,-0.469779137584113,-0.480810796480698,0.150234683777936,0.469779137584113,0.0216465953164922,0.0169541874602028,0.0873008356774043,0.0722048218515292,0.537615740740741,0.533564814814815,0.0206480689296464,1,"hard",1,2,"before",20,0.278372892048048,0.286665158802033,0.0289883091187092,3.26835097703351,3.29855389394217,0.425540276299245,-0.225975340213921,-0.19270048639739,0.109100089696243,0.225975340213921,0.0275136024429356,0.0285089349108559,0.0941829721641111,0.082182648286014,0.578819444444444,0.574074074074074,0.0182187450871546,1,"after",0.121487251277549,-0.65681417296159,0.041203703703703
"hard__lag1__widen1","st_default",20,0.320640028211491,0.31880098587967,0.0439787790674897,1.22157383976449,1.17864514169035,0.149506442687733,-0.943256718359224,-0.950728348901826,0.0310098413131995,0.943256718359224,0.0079947110410804,0.00485683733512014,0.0295930123355085,0.0202963582378231,0.565046296296296,0.592592592592593,0.11920237608889,1,"hard",1,1,"before",20,0.320640028211491,0.31880098587967,0.0439787790674897,1.22157383976449,1.17864514169035,0.149506442687733,-0.943256718359224,-0.950728348901826,0.0310098413131995,0.943256718359224,0.0079947110410804,0.00485683733512014,0.0295930123355085,0.0202963582378231,0.565046296296296,0.592592592592593,0.11920237608889,1,"after",0,0,0
"hard__lag1__widen1","fmrilss_lss",20,0.291425691741257,0.29485180025177,0.0294607044742512,3.42293017867533,3.4538065220479,0.405218663133952,-0.143468557210655,-0.134126649006705,0.110646470738192,0.14836228475127,0.0120567646736519,0.0203365586037816,0.0727382993500811,0.0615070020914895,0.582060185185185,0.585648148148148,0.0171667154258262,1,"hard",1,1,"before",20,0.291425691741257,0.29485180025177,0.0294607044742512,3.42293017867533,3.4538065220479,0.405218663133952,-0.143468557210655,-0.134126649006705,0.110646470738192,0.14836228475127,0.0120567646736519,0.0203365586037816,0.0727382993500811,0.0615070020914895,0.582060185185185,0.585648148148148,0.0171667154258262,1,"after",0,0,0
