"rep","method","cor","rmse","slope_bias","intercept_bias","sign_acc","ok","message","scenario","regime","lag","widen"
2,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.170383562102351,2.71897549202976,-0.58699592114828,0.0368371511661243,0.548611111111111,TRUE,NA,"medium__lag0__widen1","medium",0,1
2,"fmrilss_sbhm",0.149651425462035,2.95690190540854,-0.492558002857979,-0.0409075878441466,0.537037037037037,TRUE,NA,"medium__lag0__widen1","medium",0,1
1,"st_default",0.333731090945177,1.06995784930315,-0.860072572953493,0.0595635102691618,0.608796296296296,TRUE,NA,"medium__lag0__widen2","medium",0,2
1,"fmrilss_lss",0.314878094642061,2.56948515988064,-0.236176718345727,0.0525284085603006,0.592592592592593,TRUE,NA,"medium__lag0__widen2","medium",0,2
1,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.270607658415827,2.67950612316191,-0.324016882653003,0.0412213055924237,0.622685185185185,TRUE,NA,"medium__lag0__widen2","medium",0,2
1,"fmrilss_sbhm",0.139234443027908,2.75692472751939,-0.664867319289051,0.047258578316301,0.569444444444444,TRUE,NA,"medium__lag0__widen2","medium",0,2
2,"st_default",0.284360588749845,0.911612042824622,-0.903320654889119,0.00539965515247617,0.604166666666667,TRUE,NA,"medium__lag0__widen2","medium",0,2
2,"fmrilss_lss",0.293171793586469,2.64122211266606,-0.0697213780821695,0.0567278200197155,0.583333333333333,TRUE,NA,"medium__lag0__widen2","medium",0,2
2,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.170560581805022,2.63276394175717,-0.454981526683336,0.0484328062348424,0.523148148148148,TRUE,NA,"medium__lag0__widen2","medium",0,2
2,"fmrilss_sbhm",0.177890779260465,2.47400906245211,-0.513564737824931,0.0866796659874435,0.564814814814815,TRUE,NA,"medium__lag0__widen2","medium",0,2
1,"st_default",0.410495812901507,0.912540371502936,-0.947501505467836,-0.00157627093710802,0.638888888888889,TRUE,NA,"medium__lag1__widen0","medium",1,0
1,"fmrilss_lss",0.368363267230235,2.19621326137025,-0.0766384850924457,0.0162628656707459,0.599537037037037,TRUE,NA,"medium__lag1__widen0","medium",1,0
1,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.252747599875608,2.65636186120445,-0.264304045316178,0.00519826261189874,0.564814814814815,TRUE,NA,"medium__lag1__widen0","medium",1,0
1,"fmrilss_sbhm",0.235185717340756,2.57721584246017,-0.333718198931377,0.0730497543143552,0.578703703703704,TRUE,NA,"medium__lag1__widen0","medium",1,0
2,"st_default",0.382118018215218,1.06508865195711,-0.952202079662779,-0.00182905395636966,0.599537037037037,TRUE,NA,"medium__lag1__widen0","medium",1,0
2,"fmrilss_lss",0.367153891486308,2.4720621305254,-0.102833184169587,-0.0323281989349676,0.601851851851852,TRUE,NA,"medium__lag1__widen0","medium",1,0
2,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.293862818462212,2.95109582857807,-0.136475169814895,-0.0331780826843099,0.569444444444444,TRUE,NA,"medium__lag1__widen0","medium",1,0
2,"fmrilss_sbhm",0.309967078165869,2.45275279703168,-0.249360912545344,0.0282798247854534,0.564814814814815,TRUE,NA,"medium__lag1__widen0","medium",1,0
1,"st_default",0.309367375336727,1.07426491085866,-0.961804279472837,-0.000240642670108058,0.611111111111111,TRUE,NA,"medium__lag1__widen1","medium",1,1
1,"fmrilss_lss",0.302057037320894,2.82028620156089,-0.165732688899843,-0.00237996364500517,0.583333333333333,TRUE,NA,"medium__lag1__widen1","medium",1,1
1,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.302439609831249,2.66516080099631,-0.213015492283652,-0.00374009015203387,0.581018518518518,TRUE,NA,"medium__lag1__widen1","medium",1,1
1,"fmrilss_sbhm",0.221003246024584,2.68653819591218,-0.460819522943514,-0.0977781120711992,0.576388888888889,TRUE,NA,"medium__lag1__widen1","medium",1,1
