"scenario","method","n_old","mean_cor_old","median_cor_old","sd_cor_old","mean_rmse_old","median_rmse_old","sd_rmse_old","mean_slope_bias_old","median_slope_bias_old","sd_slope_bias_old","mean_abs_slope_bias_old","mean_intercept_bias_old","median_intercept_bias_old","sd_intercept_bias_old","mean_abs_intercept_bias_old","mean_sign_acc_old","median_sign_acc_old","sd_sign_acc_old","success_rate_old","run_old","n_new","mean_cor_new","median_cor_new","sd_cor_new","mean_rmse_new","median_rmse_new","sd_rmse_new","mean_slope_bias_new","median_slope_bias_new","sd_slope_bias_new","mean_abs_slope_bias_new","mean_intercept_bias_new","median_intercept_bias_new","sd_intercept_bias_new","mean_abs_intercept_bias_new","mean_sign_acc_new","median_sign_acc_new","sd_sign_acc_new","success_rate_new","run_new","delta_cor","delta_rmse","delta_sign_acc"
"h2_r2_c2__hrf_lag2_widen1p5__ar_mod__isi_mid__amp_high","fmrilss_lss",40,0.300369764955415,0.300116407894251,0.0373641736232369,2.98168190677258,2.98172901627844,0.332259468886635,-0.20966875603229,-0.216592074702242,0.141223046894975,0.21652687505175,0.0054308705158388,0.0169776811501239,0.0550615000916435,0.0430568905940949,0.591840277777778,0.587962962962963,0.021799428355645,1,"before",40,0.300369764955415,0.300116407894251,0.0373641736232369,2.98168190677258,2.98172901627844,0.332259468886635,-0.20966875603229,-0.216592074702242,0.141223046894975,0.21652687505175,0.0054308705158388,0.0169776811501239,0.0550615000916435,0.0430568905940949,0.591840277777778,0.587962962962963,0.021799428355645,1,"after",0,0,0
"h2_r2_c2__hrf_lag2_widen1p5__ar_mod__isi_mid__amp_high","st_default",40,0.297909156943996,0.29755577749874,0.0420786913978638,1.19217999453906,1.18220920945487,0.0940639854310903,-0.93860007617141,-0.951967641005335,0.0339017315532803,0.93860007617141,-0.00658014500736893,0.000685512348106231,0.0344582469664333,0.0234467830410006,0.594155092592593,0.597222222222222,0.0259646230289651,1,"before",40,0.297909156943996,0.29755577749874,0.0420786913978638,1.19217999453906,1.18220920945487,0.0940639854310903,-0.93860007617141,-0.951967641005335,0.0339017315532803,0.93860007617141,-0.00658014500736893,0.000685512348106231,0.0344582469664333,0.0234467830410006,0.594155092592593,0.597222222222222,0.0259646230289651,1,"after",0,0,0
"h2_r2_c2__hrf_lag2_widen1p5__ar_mod__isi_mid__amp_high","fmrilss_sbhm",40,0.277261438751808,0.279452988757393,0.0429820538560549,3.23099078216004,3.15648419811469,0.578812336414041,-0.258845012161291,-0.266553199372883,0.155882671207564,0.260746385638667,-0.0120573898215502,-0.00543331715525043,0.0590447686691496,0.0445879928921758,0.581076388888889,0.579861111111111,0.0202852586891435,1,"before",40,0.249892045762461,0.257776823354964,0.0537076848977667,3.2234053020939,3.08664884978258,0.566443382597495,-0.373381808102501,-0.352391892498141,0.191279982732519,0.374725401881701,0.00527807128385211,-0.00182029499553021,0.0785399369794203,0.059868474076631,0.575868055555556,0.574074074074074,0.0202310013449169,1,"after",-0.027369392989347,-0.0075854800661399,-0.00520833333333304
"h2_r2_c2__hrf_lag2_widen1p5__ar_mod__isi_mid__amp_high","fmrilss_oasis_best",40,0.151090735397132,0.156440143363546,0.060735228748636,3.0059606274082,2.95141657198443,0.406886296004447,-0.627224928864088,-0.613699074743744,0.150655556866824,0.627224928864088,0.00197492816546978,0.0024956908588625,0.0586021039994878,0.0465955593171686,0.544733796296296,0.546296296296296,0.0197422385429351,1,"before",40,0.300727948822725,0.300477214818406,0.0373235338123911,2.84589935589603,2.82432766788395,0.313002182817085,-0.246315931156161,-0.249969995775694,0.13454602225717,0.248193622353175,0.00177927439392456,0.0162457878303296,0.0592387074100235,0.0461569024019699,0.592361111111111,0.591435185185185,0.0215803346544316,1,"after",0.149637213425593,-0.16006127151217,0.047627314814815
"h2_r2_c1__hrf_lag2_widen1p5__ar_mod__isi_dense__amp_mod","fmrilss_sbhm",40,0.248059531055046,0.243504953856244,0.0556356806749414,3.14230317651592,3.17049264807542,0.426721257933765,-0.227241384187277,-0.251245672922916,0.213549181618067,0.269721260978846,-0.0080948266838265,2.30948335269339e-05,0.0637464613174391,0.0516888947853743,0.585127314814815,0.581018518518518,0.0259121833701891,1,"before",40,0.233362128878838,0.229551188095555,0.0516944034568963,3.01080034271819,2.96545911401071,0.445386471837438,-0.301098618331034,-0.293352563640775,0.182030726313233,0.311032139955489,-0.00129756097607104,0.013142226459207,0.0653257348620217,0.054713026498846,0.583159722222222,0.578703703703704,0.0257680905375107,1,"after",-0.014697402176208,-0.13150283379773,-0.00196759259259294
"h2_r2_c1__hrf_lag2_widen1p5__ar_mod__isi_dense__amp_mod","fmrilss_lss",40,0.244902145934887,0.2429669839878,0.0418386231378665,3.1191585882327,3.11983952370251,0.386690623192831,-0.224232004036496,-0.252794233669368,0.184982686393363,0.244202641331836,0.00191064596192747,0.00403228722778586,0.0580546668881502,0.0457459465665534,0.582523148148148,0.583333333333333,0.0210697386833684,1,"before",40,0.244902145934887,0.2429669839878,0.0418386231378665,3.1191585882327,3.11983952370251,0.386690623192831,-0.224232004036496,-0.252794233669368,0.184982686393363,0.244202641331836,0.00191064596192747,0.00403228722778586,0.0580546668881502,0.0457459465665534,0.582523148148148,0.583333333333333,0.0210697386833684,1,"after",0,0,0
"h2_r2_c1__hrf_lag2_widen1p5__ar_mod__isi_dense__amp_mod","st_default",40,0.239965657964312,0.240745404597377,0.04194093354288,1.04504804214344,1.0410020532451,0.0534495626591697,-0.95740125392119,-0.962727158148852,0.0233214664932534,0.95740125392119,-0.00661719206254975,-0.000801937182476326,0.0343201296617872,0.0229834546337602,0.594560185185185,0.59837962962963,0.0203059907069558,1,"before",40,0.239965657964312,0.240745404597377,0.04194093354288,1.04504804214344,1.0410020532451,0.0534495626591697,-0.95740125392119,-0.962727158148852,0.0233214664932534,0.95740125392119,-0.00661719206254975,-0.000801937182476326,0.0343201296617872,0.0229834546337602,0.594560185185185,0.59837962962963,0.0203059907069558,1,"after",0,0,0
"h2_r2_c1__hrf_lag2_widen1p5__ar_mod__isi_dense__amp_mod","fmrilss_oasis_best",40,0.121369950569933,0.124024337586628,0.0463918721290787,3.61531714299488,3.60850896557856,0.309120652853671,-0.575561053377457,-0.537568922072571,0.160248634509305,0.575561053377457,-0.00450360945297125,-0.00389530011969906,0.0548675851607446,0.0444023600175302,0.534606481481481,0.533564814814815,0.0240331190644455,1,"before",40,0.245505872375637,0.243008470604528,0.0417272627575041,2.94844428513508,2.94776010664151,0.368183614440883,-0.266464895738986,-0.292193635503206,0.176775249062256,0.274601667982993,-0.00157889212592338,-0.00530593690104257,0.0653520599709245,0.050579723259172,0.58443287037037,0.584490740740741,0.0210072898570385,1,"after",0.124135921805704,-0.6668728578598,0.0498263888888889
"h2_r1_c3__hrf_lag2_widen1p5__ar_iid__isi_sparse__amp_high","st_default",40,0.398295912819741,0.397190111444418,0.073184266048827,1.12995170415425,1.11863634241049,0.108205340660139,-0.770439169338419,-0.774868450030702,0.0506264134231528,0.770439169338419,-0.00337617553421718,0.00562138412699741,0.05063622185544,0.0381780689730038,0.618518518518519,0.615740740740741,0.0283806065853108,1,"before",40,0.398295912819741,0.397190111444418,0.073184266048827,1.12995170415425,1.11863634241049,0.108205340660139,-0.770439169338419,-0.774868450030702,0.0506264134231528,0.770439169338419,-0.00337617553421718,0.00562138412699741,0.05063622185544,0.0381780689730038,0.618518518518519,0.615740740740741,0.0283806065853108,1,"after",0,0,0
"h2_r1_c3__hrf_lag2_widen1p5__ar_iid__isi_sparse__amp_high","fmrilss_oasis_best",40,0.386125907440036,0.379872424541376,0.0396633870293539,2.23627604127259,2.15626491443503,0.276223041901046,-0.234374355594042,-0.255858587182118,0.109085756883491,0.238740800119822,0.0117198138866717,0.0096774349516413,0.0789350395274175,0.0641367998924293,0.616724537037037,0.616898148148148,0.025367750742504,1,"before",40,0.386125907440036,0.379872424541376,0.0396633870293539,2.23627604127259,2.15626491443503,0.276223041901046,-0.234374355594042,-0.255858587182118,0.109085756883491,0.238740800119822,0.0117198138866717,0.0096774349516413,0.0789350395274175,0.0641367998924293,0.616724537037037,0.616898148148148,0.025367750742504,1,"after",0,0,0
