"scenario","method","n","mean_cor","median_cor","sd_cor","mean_rmse","median_rmse","sd_rmse","mean_slope_bias","median_slope_bias","sd_slope_bias","mean_abs_slope_bias","mean_intercept_bias","median_intercept_bias","sd_intercept_bias","mean_abs_intercept_bias","mean_sign_acc","median_sign_acc","sd_sign_acc","success_rate","oasis_variant"
"h1_r2_c3__hrf_nominal__ar_mod__isi_sparse__amp_none","fmrilss_lss",6,0.378253693641137,0.383894506945346,0.0399440949171348,2.36203859490098,2.36335379280503,0.141913824446324,-0.0345486936052016,0.0097546082843364,0.0993355622733055,0.0640764340504849,0.00076456627282533,-0.0115545662738391,0.0562034062125086,0.0429688927630138,0.628858024691358,0.628472222222222,0.0211987837302407,1,NA
"h1_r2_c3__hrf_nominal__ar_mod__isi_sparse__amp_none","fmrilss_sbhm",6,0.270122585872518,0.279246955973921,0.0464848981052176,3.04864523590791,2.8134959704052,0.726063452038899,-0.207429628398159,-0.230768960972159,0.145137686585145,0.223757045044334,-0.00852469603564647,-0.0143054592825603,0.100301708895988,0.0890500882437151,0.599922839506173,0.591435185185185,0.02251050788519,1,NA
"h1_r2_c3__hrf_nominal__ar_mod__isi_sparse__amp_none","fmrilss_oasis_best",6,0.378878783782898,0.384435896991232,0.0399611857336347,2.22840271416677,2.22698434460911,0.133579393644803,-0.0881281302457546,-0.0466442822645843,0.0937242031399587,0.0881281302457546,0.000696146839977699,-0.00538545009057891,0.057083146251593,0.0465435307313091,0.62962962962963,0.62962962962963,0.0213666310355821,1,"fmrilss_oasis[fractional|x=0.05|b=0.05]"
"h1_r3_c1__hrf_nominal__ar_high__isi_dense__amp_high","st_default",6,0.340177686119999,0.34258099370481,0.0461291805742138,1.27844323207008,1.26442417679778,0.18838731126173,-0.938133045492793,-0.933127586000515,0.0202956374785907,0.938133045492793,-0.0114074140563664,-0.0119023368533781,0.0275537419239875,0.0227391534506796,0.607638888888889,0.606481481481482,0.0115044200368418,1,NA
"h1_r3_c1__hrf_nominal__ar_high__isi_dense__amp_high","fmrilss_lss",6,0.293693533878674,0.294617715267017,0.0346456323913334,3.96907807328603,4.00839370367548,0.522479320228854,-0.049499615113232,-0.0585043486932081,0.140490419491204,0.121004739477871,-0.0411856872460255,-0.0619450535834089,0.0434981413789619,0.0505053282345705,0.581404320987654,0.579861111111111,0.0164607044097818,1,NA
"h1_r3_c1__hrf_nominal__ar_high__isi_dense__amp_high","fmrilss_sbhm",6,0.212552099673496,0.207387258584415,0.0327584344115826,4.20202269172943,4.08804560945444,0.523991322640475,-0.302195440963881,-0.340150882914758,0.148335940668228,0.302195440963881,-0.0220790260203785,-0.0454410179752512,0.103264521004536,0.0776441073446063,0.571759259259259,0.572916666666667,0.0143443827637312,1,NA
"h1_r3_c1__hrf_nominal__ar_high__isi_dense__amp_high","fmrilss_oasis_best",6,0.294589157772811,0.295344761610439,0.0347620028468775,3.7010961635781,3.73691111988711,0.48823181033223,-0.112020131189553,-0.119096207328374,0.132178698538159,0.135181717560835,-0.0444423115127904,-0.0832786572650744,0.0690953485398981,0.0729944856502746,0.583719135802469,0.584490740740741,0.012197705020749,1,"fmrilss_oasis[fractional|x=0.05|b=0.05]"
"h1_r3_c2__hrf_nominal__ar_high__isi_mid__amp_none","st_default",6,0.345389965674373,0.359189415302729,0.0375330676006361,0.977796115257428,0.982946102545688,0.0201096235214817,-0.953333061914154,-0.959844254920651,0.0193936995091488,0.953333061914154,0.00747156425489309,0.00414324649887775,0.0140633534252838,0.0105685095807424,0.611496913580247,0.609953703703704,0.0260832144560503,1,NA
"h1_r3_c2__hrf_nominal__ar_high__isi_mid__amp_none","fmrilss_lss",6,0.322592937726258,0.331205857751876,0.0396563033274207,3.4495459662589,3.4528649611555,0.190850554891693,0.160488801522685,0.184990441086212,0.178008512402484,0.181347391209969,0.001369635780851,-0.0443013594841715,0.130999763622626,0.0905954551826808,0.606095679012346,0.605324074074074,0.0142255996021984,1,NA
"h1_r3_c2__hrf_nominal__ar_high__isi_mid__amp_none","fmrilss_sbhm",6,0.222782289712403,0.215949595903129,0.0406960942874062,4.38824740936958,4.29983241152192,0.509073722221036,-0.0288468026315709,-0.0689287166473639,0.196222838690141,0.145199451414114,-0.0132249757084003,-0.0179087916918542,0.187182069916781,0.144958386244899,0.564429012345679,0.56712962962963,0.020777531577952,1,NA
"h1_r3_c2__hrf_nominal__ar_high__isi_mid__amp_none","fmrilss_oasis_best",6,0.324041012802789,0.332542127775568,0.03997193692508,3.19776977546046,3.19867232019134,0.179307644934408,0.081735543012581,0.104722248772917,0.168460222815168,0.147840336567481,0.015663141729133,-0.0107721267175792,0.121715641588785,0.0728642573422583,0.607638888888889,0.606481481481482,0.013237017088422,1,"fmrilss_oasis[fractional|x=0.05|b=0.05]"
"h1_r3_c3__hrf_nominal__ar_high__isi_sparse__amp_mod","st_default",6,0.36763950226271,0.37599164786735,0.0569950963843878,1.05869658581103,1.0599814967173,0.0518091564700524,-0.929498603673554,-0.939369807779558,0.0242625563172227,0.929498603673554,0.00393824613738989,-0.000903429942190308,0.0152119761745504,0.010452571477164,0.628086419753086,0.62962962962963,0.0287882069539778,1,NA
"h1_r3_c3__hrf_nominal__ar_high__isi_sparse__amp_mod","fmrilss_lss",6,0.352921438712492,0.362653307656489,0.0551475529714854,2.92644128856446,2.94540987549194,0.218718440498531,-0.00861380285410232,0.0444063797512755,0.176077080846872,0.117372352735922,0.0355315783573325,0.0528922261123656,0.144136161416911,0.124206786527372,0.609182098765432,0.609953703703704,0.015453303333103,1,NA
"h1_r3_c3__hrf_nominal__ar_high__isi_sparse__amp_mod","fmrilss_sbhm",6,0.237452530563259,0.250540504732028,0.0461676164486349,3.73924034046153,3.70762514503816,0.538310998179513,-0.246716700772682,-0.210858957889507,0.157394237421048,0.246716700772682,-0.0076034574617135,0.0843800237929282,0.261079298172522,0.211101430012453,0.573688271604938,0.577546296296296,0.0126293603570006,1,NA
"h1_r3_c3__hrf_nominal__ar_high__isi_sparse__amp_mod","fmrilss_oasis_best",6,0.353384889971822,0.363156942554805,0.0553633016603148,2.75047322559362,2.76197850020274,0.200105859439387,-0.0667017576413398,-0.0143688428023413,0.166050763301435,0.104181111110817,0.0355965457377174,0.0471180472351218,0.138723164251452,0.11973142536207,0.609953703703704,0.608796296296296,0.017491792117882,1,"fmrilss_oasis[fractional|x=0.05|b=0.05]"
"h2_r1_c1__hrf_lag2_widen1p5__ar_iid__isi_dense__amp_none","fmrilss_sbhm",6,0.271091941110275,0.285976134627626,0.0694755028592947,2.86439955808942,2.78716682289392,0.40032041193877,-0.207459359976385,-0.183455628177667,0.30660903019647,0.280458785970793,0.00851967899851015,-0.00198353232245985,0.082853078789469,0.0680169722475345,0.578703703703704,0.585648148148148,0.0278163312699996,1,NA
"h2_r1_c1__hrf_lag2_widen1p5__ar_iid__isi_dense__amp_none","fmrilss_lss",6,0.261078398276293,0.25608738884228,0.0546332961240087,2.60083270675918,2.48709621366515,0.340341776576953,-0.269347504892424,-0.238991324922962,0.224948729192217,0.277862354104362,0.00543457021245473,-0.0148695893726718,0.0522294005059606,0.0409728764386945,0.587577160493827,0.587962962962963,0.0250777540290634,1,NA
"h2_r1_c1__hrf_lag2_widen1p5__ar_iid__isi_dense__amp_none","st_default",6,0.243830380395155,0.243544638072126,0.0443540514818457,0.9829333872731,0.981792288158308,0.0204357653916751,-0.962744221278964,-0.963223499169204,0.0161884136626003,0.962744221278964,0.0106746212995773,0.00224038819427516,0.0307820198487211,0.0200017452745619,0.604166666666667,0.600694444444444,0.0201269121474853,1,NA
"h2_r1_c1__hrf_lag2_widen1p5__ar_iid__isi_dense__amp_none","fmrilss_oasis_best",6,0.26163644179076,0.255944153334141,0.0542014770683287,2.43441725883452,2.32994519865712,0.305666027438053,-0.316969900907613,-0.290949525666927,0.208450163651594,0.316969900907613,0.00885081265804025,-0.0108344017876859,0.0547667967176998,0.0422728648128166,0.587962962962963,0.58912037037037,0.0231481481481482,1,"fmrilss_oasis[fractional|x=0.05|b=0.05]"
"h2_r1_c2__hrf_lag2_widen1p5__ar_iid__isi_mid__amp_mod","fmrilss_lss",6,0.353579901947546,0.380159393825465,0.0519616532049777,2.3357783114714,2.32890427180762,0.15938975050618,-0.181153439329236,-0.15022478499067,0.145721087153782,0.182662400897081,0.00379627971527416,-0.00590308473933239,0.0333201473873981,0.0234429174348725,0.609182098765432,0.613425925925926,0.0160653262451057,1,NA
"h2_r1_c2__hrf_lag2_widen1p5__ar_iid__isi_mid__amp_mod","st_default",6,0.342764776580804,0.354058542135037,0.0525418027191832,1.07664636075794,1.06391392359684,0.0614493678297792,-0.9263898788351,-0.942517976317834,0.0553243889466955,0.9263898788351,-0.00478718872512168,-0.00123059426886424,0.0135516242601687,0.00981869147737593,0.626543209876543,0.62962962962963,0.0297042848069756,1,NA
"h2_r1_c2__hrf_lag2_widen1p5__ar_iid__isi_mid__amp_mod","fmrilss_sbhm",6,0.327694293986942,0.344732741275408,0.0360159931605634,3.15573620112929,3.28258815119841,0.570842887167465,-0.0732692352654083,-0.0389105906301385,0.236955169526945,0.176035523985354,-0.0476989115597839,-0.0465053495561529,0.0909643895665829,0.0792515941441332,0.604166666666667,0.599537037037037,0.0222992492199857,1,NA
